      1) 770      2) 494      3) 735      4) 498      5) 702
        +551        +356        +456         +76        +338
        ----        ----        ----        ----        ----
      6) 143      7) 390      8) 601      9) 95     10) 219
         +21        +152         +95         +18        +150
        ----        ----        ----         ---        ----
     11) 613     12) 903     13) 779     14) 208     15) 802
        +352        +619        +273         +96         +63
        ----        ----        ----        ----        ----
     16) 941     17) 449     18) 378     19) 817     20) 622
        +211        +207         +26        +140        +261
        ----        ----        ----        ----        ----
     21) 809     22) 802     23) 398     24) 679     25) 746
        +321        +415        +203        +276        +199
        ----        ----        ----        ----        ----
     26) 919     27) 581     28) 832     29) 881     30) 901
        +286        +342        +505        +821        +397
        ----        ----        ----        ----        ----
